이름,위치,별점,간단한설명,링크

미영이네,제주 서귀포시 대정읍 하모항구로 42, 4.53,고등어회, https://naver.me/Ft8lvGnJ 
우진해장국, 제주 제주시 서사로 11, 4.41,사골해장국, https://naver.me/5Z0vT0W9
꽃돼지연탄구이, 제주 서귀포시 이어도로 227, 4.4,흑돼지, https://naver.me/5tj4hWPv
화고 신시가지점, 제주 서귀포시 신서로32번길 20 1층, 4.77,숙성흑돼지, https://naver.me/FRDWWXyz
엠제이돼지, 제주 제주시 신성로 103, 4.21,오겹살, https://naver.me/x8liEvqa
애월찜, 제주 제주시 애월읍 애월해안로 454-5, 4.66,매운 갈비찜, https://naver.me/x9JcuxgI
순옥이네명가, 제주 제주시 도공로 8, 4.25,물회, https://naver.me/FS6O6YxQ
숙성도 중문점, 제주 서귀포시 일주서로 966, 4.44,숙성 삼겹살, https://naver.me/GkKJKnWn
돗통, 제주 서귀포시 안덕면 사계북로41번길 189, 별점없음,돈마호크오겹살, https://naver.me/xL1s1QzT
오전열한시, 제주 서귀포시 상예로 248, 4.48, 전복볶음밥, https://naver.me/5Tv3XSwq
장수물식당, 제주 제주시 연문2길 18,4.37, 고기국수, https://naver.me/5wfHfzpS
칠돈가 중문점, 제주 서귀포시 중문관광로 8, 4.47,흑돼지, https://naver.me/FOvhTUaq
웅스키친, 제주 제주시 대동길 17-1, 4.63, 이탈리아 음식, https://naver.me/G7KDCjui
국수바다, 제주 서귀포시 일주서로 982,별점없음, 고기국수, https://naver.me/FlJxYVsn
듬삭한 협재점, 제주 제주시 한림읍 한림로 450 1층 101호, 4.64,고등어덮밥, https://naver.me/GcjWdj3F
칠사돈본점 원조명란 오겹살, 제주 제주시 애월읍 애월해안로 906 1층, 4.62,흑돼지, https://naver.me/FVPbbblG
이춘옥 원조 고등어 쌈밥, 제주 제주시 애월읍 일주서로 7213, 별점 없음,고등어 묵은지찜, https://naver.me/FArQ1lwX
우영담, 제주 제주시 애월읍 애월로 86 1층, 별점없음,전복돌솥밥, https://naver.me/5lZC8kmg
동구밖식당, 제주 제주시 애월읍 하귀로 20 1층, 4.96,딱새우버터구이, https://naver.me/GY2xJwnf
연돈, 제주 서귀포시 일주서로 968-10 1층, 4.58, 돈까스, https://naver.me/5SsQrGTv
숙성도 노형점, 제주 제주시 원노형로 41, 4.56,교차숙성흑돼지, https://naver.me/Gul0N4al
고집돌우럭,제주 서귀포시 일주서로 879,4.77,생선조림, https://naver.me/FiLErX3j
명진전복, 제주 제주시 구좌읍 해맞이해안로 1282,4.38,전복요리,https://naver.me/xtWHFLE9
도민상회 보리짚불구이 월정리 함덕, 제주 제주시 구좌읍 행원로1길 32-3 1층 도민상회 월정점, 4.52/5, 흑돼지 근고기600, https://naver.me/FjojlrxO
종달리수다뜰 통갈치구이조림 구좌세화월정리백반, 제주 제주시 구좌읍 용눈이오름로 8 종달수다뜰, 4.37/5, 통갈치구이, https://naver.me/FS6O5Lhi
숙자네숟가락젓가락 구좌월정리세화본점, 제주 제주시 구좌읍 세평항로 45-2, 4.79, 갈치구이한상, https://naver.me/x7v1TdSf
탐나는문어 하도점, 제주 제주시 구좌읍 해맞이해안로 1852, 4.9, 통문어 부대찌개, https://naver.me/xWN8pOk1
돈사돈 제주월정리점, 제주 제주시 구좌읍 한동북1길 29-3,별점없음, 흑돼지 근고기, https://naver.me/xtWIw67y
해월정, 제주 제주시 구좌읍 해맞이해안로 2340, 4.22,보말요리, https://naver.me/52lR3shR
슬슬슬로우, 제주 제주시 구좌읍 덕행로 207 1층,별점없음, 돔베라면, https://naver.me/FBwDkigA
이로리, 제주 제주시 구좌읍 평대5길 41, 4.9,이자카야, https://naver.me/GcjDEbX6
명물, 제주 제주시 탑동로11길 2-1, 4.35, 쥐치조림, https://naver.me/xRQ0PZKM
다담, 제주 제주시 서광로2길 11-18, 4.36, 연잎밥, https://naver.me/xIh2wDwd
제주순메밀 막국수, 제주 서귀포시 안덕면 녹차분재로 60, 4.52, 막국수, https://naver.me/5CzplvGr
칸스, 제주 서귀포시 중앙로54번길 17, 4.53, 멕시코, https://naver.me/xxxYfiXy
둘레길, 제주 서귀포시 천제연로 209-1 2층 둘레길, 4.9, 양식, https://naver.me/FU39kmiQ
우도 해녀식당, 제주 제주시 우도면 우도해안길 440 우도해녀식당, 별점없음, 해물, https://naver.me/xTeSs8r8
중문수원음식점, 제주 서귀포시 천제연로 83, 4.54, 향토음식, https://naver.me/5Y1wooxO
대기정, 제주 서귀포시 이어도로 41, 4.54, 한식, https://naver.me/xgaTkFfH
제주순풍해장국, 제주 제주시 조천읍 신북로 604 1층, 4.84, 해장국, https://naver.me/GDc5v02z
연동 돌담흑돼지, 제주 제주시 연동7길 35 2층 돌담흑돼지, 4.83, 돼지고기, https://naver.me/GIqAvU8r
제주에가면, 제주 제주시 탑동로 119 제주에 가면, 4.49, 한식, https://naver.me/FlJxendx
가람돌솥밥, 제주 서귀포시 중문관광로 332 가람돌솥밥, 4.45, 돌솥밥, https://naver.me/FYuaAufE
제주김만복 동문시장점,제주 제주시 북성로 65,4.36,분식,https://naver.me/x0ahm6Nj
르 쉬느아, 제주 서귀포시 안덕면 신화역사로304번길 38 메리어트관 제주신화월드 호텔앤리조트 G층 르 쉬느아, 별점없음, 중식당, https://naver.me/5vIYc8Ti
하하호호, 제주 제주시 우도면 우도해안길 532 하하호호, 4.46, 햄버거, https://naver.me/5s93n2Si
올래국수, 제주 제주시 귀아랑길 24 올래국수, 4.38, 국수, https://naver.me/xVl3J0IK
스카이 온 파이브 다이닝, 제주 서귀포시 안덕면 신화역사로304번길 38 메리어트관 제주신화월드 호텔앤리조트 5층, 별점없음, 뷔페, https://naver.me/Fds7P7FZ
가시아방국수, 제주 서귀포시 성산읍 섭지코지로 10, 4.34, 국수, https://naver.me/GKovo2km
몰돗,제주 제주시 조천읍 함대로 2, 4.79, 말고기, https://naver.me/Fslq3Uge
평대 장인의집, 제주 제주시 구좌읍 평대2길 29 1층,별점없음, 만두, https://naver.me/xbnni5am
아늑 월정리함덕점, 제주 제주시 구좌읍 해맞이해안로 470 1층,별점없음, 흑돼지 근고기, https://naver.me/5MCUNiSb
이춘옥원조고등어쌈밥 월정리김녕구좌읍점, 제주 제주시 구좌읍 월정중길 19-11 1층, 4.82, 고등어묵은지찜, https://naver.me/FXZyMQHb
담백, 제주 제주시 구좌읍 해맞이해안로 518 월정스캔들 건물 1층 102호, 4.76,전복솥밥, https://naver.me/xE1xNEZH
해녀촌, 제주 제주시 구좌읍 동복로 33,  4.34, 회국수, https://naver.me/GdJ1eIWL
모해통갈치화덕구이, 제주 서귀포시 성산읍 일출로 267 모해통갈치화덕구이, 별점없음, 해물, https://naver.me/FEJdjsf0
올래국수, 제주 제주시 귀아랑길 24 올래국수, 4.38, 국수, https://naver.me/xVl3J0IK
숙성도, 제주 제주시 원노형로 41 1층, 4.56, 돼지고기, https://naver.me/Gul0N4al
연돈, 제주 서귀포시 일주서로 968-10, 4.58, 돈가스, https://naver.me/5DH3Hg8h
오는정김밥, 제주 서귀포시 동문동로 2, 4.32, 김밥, https://naver.me/G6DyZmsU
해녀김밥, 제주 제주시 조천읍 함덕로 40 3층 302호, 4.32, 김밥, https://naver.me/GPrF49uc
제주미향, 제주 서귀포시 천제연로 99 제주미향 중문본점, 4.57, 갈치, https://naver.me/xevj7BF2
먹돌, 제주 제주시 월성로 26, 4.54, 국수, https://naver.me/FNm193FN
협재수우동 협재점, 제주 제주시 한림읍 협재1길 11, 4.1, 일식당, https://naver.me/GXERhpUb
명랑스낵, 제주 제주시 한림읍 한림로 585, 별점없음, 종합분식, https://naver.me/xnKnPBGt
최고집, 제주 서귀포시 김정문화로 71, 4.41, 돼지고기구이, https://naver.me/Gtt92pzV
안녕육지사람,제주 제주시 우도면 우도해안길 792,우도,흑돼지 햄버거,https://naver.me/GDcZ8i2n
갈치요리전문점 만족한상회,제주 서귀포시 중문상로 58-5,4.84,갈치요리,https://naver.me/GD5iJiXA
산지해장국,제주 제주시 임항로 34,4.47,해장국,https://naver.me/FFvilBF6
훈남횟집,제주 제주시 조천읍 함덕13길 7 1층,4.48,회,https://naver.me/5oQi4xjl
소금바치순이네,제주 제주시 구좌읍 해맞이해안로 2196,4.5,돌문어요리,https://naver.me/5PS2RWY8
월정리갈비밥, 제주 제주시 구좌읍 월정7길 46, 4.43, 제주 흑돼지 양념구이, https://naver.me/58HFOk5P
조개모닥 종달본점, 제주 제주시 구좌읍 해맞이해안로 2232-30 조개모닥 종달본점, 조개모닥구이, https://naver.me/IMpQfJD7
양식,확인,해주,세,요
